city ward,year,residential accounts,annual residential usage,average residential usage,commercial accounts,annual commercial usage,average commercial usage,total count,total consumption,average consumption
27,2002,3713,3184732.17,857.72,403,14393689.65,35716.35,4116,17578421.82,4270.75
28,2002,2200,1749713.04,795.32,307,13597221.75,44290.62,2507,15346934.79,6121.63
29,2002,9094,2757511.02,303.22,78,1734765.31,22240.58,9172,4492276.33,489.78
30,2002,4140,2270803.15,548.50,79,2852228.64,36104.16,4219,5123031.79,1214.28
31,2002,10816,3185277.43,294.50,86,4205765.12,48904.25,10902,7391042.55,677.95
32,2002,5723,2490761.48,435.22,71,1649786.16,23236.42,5794,4140547.64,714.63
33,2002,6993,2553483.20,365.15,138,5537763.71,40128.72,7131,8091246.91,1134.66
34,2002,7198,2685148.39,373.04,224,6182697.42,27601.33,7422,8867845.81,1194.81
35,2002,10170,3527503.75,346.85,148,4531846.35,30620.58,10318,8059350.10,781.10
36,2002,11699,3695356.95,315.87,100,2691833.94,26918.34,11799,6387190.89,541.33
37,2002,12883,4645528.99,360.59,207,7108095.29,34338.62,13090,11753624.28,897.91
38,2002,10203,3609298.85,353.75,155,4877680.41,31468.91,10358,8486979.26,819.36
39,2002,8428,3850406.49,456.86,96,3753311.44,39096.99,8524,7603717.93,892.04
40,2002,8276,3426396.43,414.02,131,4388893.51,33503.00,8407,7815289.94,929.62
41,2002,13573,6101758.88,449.55,157,4681997.95,29821.64,13730,10783756.83,785.42
42,2002,10499,5112243.85,486.93,108,3199603.09,29625.95,10607,8311846.94,783.62
43,2002,8761,3258437.38,371.93,104,3562797.20,34257.67,8865,6821234.58,769.46
44,2002,14918,5491161.23,368.09,61,1694268.61,27774.90,14979,7185429.84,479.70
1,2001,8051,3982505.48,494.66,148,5137828.92,34715.06,8199,9120334.40,1112.37
